dataset,sequence_identity,num_clusters
Fold06_200x_PE_samples_CSTONE,0.70,248
Fold06_200x_PE_samples_CSTONE,0.60,224
Fold06_200x_PE_samples_CSTONE,0.50,165
Fold06_200x_PE_samples_IDBA,1.00,427
Fold06_200x_PE_samples_IDBA,0.99,427
Fold06_200x_PE_samples_IDBA,0.98,425
Fold06_200x_PE_samples_IDBA,0.97,422
Fold06_200x_PE_samples_IDBA,0.96,420
Fold06_200x_PE_samples_IDBA,0.95,417
Fold06_200x_PE_samples_IDBA,0.94,414
Fold06_200x_PE_samples_IDBA,0.93,410
Fold06_200x_PE_samples_IDBA,0.92,403
Fold06_200x_PE_samples_IDBA,0.91,401
Fold06_200x_PE_samples_IDBA,0.90,397
Fold06_200x_PE_samples_IDBA,0.80,304
Fold06_200x_PE_samples_IDBA,0.70,238
Fold06_200x_PE_samples_IDBA,0.60,211
Fold06_200x_PE_samples_IDBA,0.50,175
Fold06_200x_PE_samples_MEGAHIT,1.00,465
Fold06_200x_PE_samples_MEGAHIT,0.99,457
Fold06_200x_PE_samples_MEGAHIT,0.98,452
Fold06_200x_PE_samples_MEGAHIT,0.97,450
Fold06_200x_PE_samples_MEGAHIT,0.96,440
Fold06_200x_PE_samples_MEGAHIT,0.95,438
Fold06_200x_PE_samples_MEGAHIT,0.94,435
Fold06_200x_PE_samples_MEGAHIT,0.93,432
Fold06_200x_PE_samples_MEGAHIT,0.92,427
Fold06_200x_PE_samples_MEGAHIT,0.91,424
Fold06_200x_PE_samples_MEGAHIT,0.90,418
Fold06_200x_PE_samples_MEGAHIT,0.80,323
Fold06_200x_PE_samples_MEGAHIT,0.70,265
Fold06_200x_PE_samples_MEGAHIT,0.60,233
Fold06_200x_PE_samples_MEGAHIT,0.50,181
Fold06_200x_PE_samples_MERGEPIPE,1.00,173488
Fold06_200x_PE_samples_MERGEPIPE,0.99,126951
Fold06_200x_PE_samples_MERGEPIPE,0.98,92525
Fold06_200x_PE_samples_MERGEPIPE,0.97,75597
Fold06_200x_PE_samples_MERGEPIPE,0.96,67980
Fold06_200x_PE_samples_MERGEPIPE,0.95,63951
Fold06_200x_PE_samples_MERGEPIPE,0.94,61188
Fold06_200x_PE_samples_MERGEPIPE,0.93,59201
Fold06_200x_PE_samples_MERGEPIPE,0.92,57651
Fold06_200x_PE_samples_MERGEPIPE,0.91,56063
Fold06_200x_PE_samples_MERGEPIPE,0.90,54655
Fold06_200x_PE_samples_MERGEPIPE,0.80,64119
Fold06_200x_PE_samples_MERGEPIPE,0.70,56662
Fold06_200x_PE_samples_MERGEPIPE,0.60,53523
Fold06_200x_PE_samples_MERGEPIPE,0.50,47385
Fold06_200x_PE_samples_PLASS,1.00,171548
Fold06_200x_PE_samples_PLASS,0.99,124599
Fold06_200x_PE_samples_PLASS,0.98,90643
Fold06_200x_PE_samples_PLASS,0.97,74314
Fold06_200x_PE_samples_PLASS,0.96,66812
Fold06_200x_PE_samples_PLASS,0.95,63078
Fold06_200x_PE_samples_PLASS,0.94,60291
Fold06_200x_PE_samples_PLASS,0.93,58268
Fold06_200x_PE_samples_PLASS,0.92,56769
Fold06_200x_PE_samples_PLASS,0.91,55266
Fold06_200x_PE_samples_PLASS,0.90,53887
Fold06_200x_PE_samples_PLASS,0.80,63570
Fold06_200x_PE_samples_PLASS,0.70,55721
Fold06_200x_PE_samples_PLASS,0.60,52761
Fold06_200x_PE_samples_PLASS,0.50,46629
Fold06_200x_PE_samples_RNABLOOM,1.00,2267
Fold06_200x_PE_samples_RNABLOOM,0.99,2179
Fold06_200x_PE_samples_RNABLOOM,0.98,2059
Fold06_200x_PE_samples_RNABLOOM,0.97,1941
Fold06_200x_PE_samples_RNABLOOM,0.96,1836
Fold06_200x_PE_samples_RNABLOOM,0.95,1775
Fold06_200x_PE_samples_RNABLOOM,0.94,1727
Fold06_200x_PE_samples_RNABLOOM,0.93,1692
Fold06_200x_PE_samples_RNABLOOM,0.92,1666
Fold06_200x_PE_samples_RNABLOOM,0.91,1637
Fold06_200x_PE_samples_RNABLOOM,0.90,1595
Fold06_200x_PE_samples_RNABLOOM,0.80,1204
Fold06_200x_PE_samples_RNABLOOM,0.70,911
Fold06_200x_PE_samples_RNABLOOM,0.60,790
Fold06_200x_PE_samples_RNABLOOM,0.50,608
Fold06_200x_PE_samples_SOAPDENOVO,1.00,679
Fold06_200x_PE_samples_SOAPDENOVO,0.99,679
Fold06_200x_PE_samples_SOAPDENOVO,0.98,679
Fold06_200x_PE_samples_SOAPDENOVO,0.97,679
Fold06_200x_PE_samples_SOAPDENOVO,0.96,678
Fold06_200x_PE_samples_SOAPDENOVO,0.95,678
Fold06_200x_PE_samples_SOAPDENOVO,0.94,678
Fold06_200x_PE_samples_SOAPDENOVO,0.93,675
Fold06_200x_PE_samples_SOAPDENOVO,0.92,669
Fold06_200x_PE_samples_SOAPDENOVO,0.91,664
Fold06_200x_PE_samples_SOAPDENOVO,0.90,662
Fold06_200x_PE_samples_SOAPDENOVO,0.80,642
Fold06_200x_PE_samples_SOAPDENOVO,0.70,605
Fold06_200x_PE_samples_SOAPDENOVO,0.60,540
Fold06_200x_PE_samples_SOAPDENOVO,0.50,373
Fold06_200x_PE_samples_SPADES,1.00,660
Fold06_200x_PE_samples_SPADES,0.99,657
Fold06_200x_PE_samples_SPADES,0.98,649
Fold06_200x_PE_samples_SPADES,0.97,646
Fold06_200x_PE_samples_SPADES,0.96,642
Fold06_200x_PE_samples_SPADES,0.95,639
Fold06_200x_PE_samples_SPADES,0.94,637
Fold06_200x_PE_samples_SPADES,0.93,633
Fold06_200x_PE_samples_SPADES,0.92,629
Fold06_200x_PE_samples_SPADES,0.91,623
Fold06_200x_PE_samples_SPADES,0.90,613
Fold06_200x_PE_samples_SPADES,0.80,501
Fold06_200x_PE_samples_SPADES,0.70,406
Fold06_200x_PE_samples_SPADES,0.60,341
Fold06_200x_PE_samples_SPADES,0.50,228
Fold06_200x_PE_samples_STRINGTIE,1.00,1458
Fold06_200x_PE_samples_STRINGTIE,0.99,1312
Fold06_200x_PE_samples_STRINGTIE,0.98,1222
Fold06_200x_PE_samples_STRINGTIE,0.97,1159
Fold06_200x_PE_samples_STRINGTIE,0.96,1114
Fold06_200x_PE_samples_STRINGTIE,0.95,1089
Fold06_200x_PE_samples_STRINGTIE,0.94,1047
Fold06_200x_PE_samples_STRINGTIE,0.93,1017
Fold06_200x_PE_samples_STRINGTIE,0.92,1001
Fold06_200x_PE_samples_STRINGTIE,0.91,973
Fold06_200x_PE_samples_STRINGTIE,0.90,944
Fold06_200x_PE_samples_STRINGTIE,0.80,597
Fold06_200x_PE_samples_STRINGTIE,0.70,406
Fold06_200x_PE_samples_STRINGTIE,0.60,321
Fold06_200x_PE_samples_STRINGTIE,0.50,198
Fold06_200x_PE_samples_TRANSABBYS,1.00,2166
Fold06_200x_PE_samples_TRANSABBYS,0.99,1942
Fold06_200x_PE_samples_TRANSABBYS,0.98,1787
Fold06_200x_PE_samples_TRANSABBYS,0.97,1778
Fold06_200x_PE_samples_TRANSABBYS,0.96,1775
Fold06_200x_PE_samples_TRANSABBYS,0.95,1772
Fold06_200x_PE_samples_TRANSABBYS,0.94,1761
Fold06_200x_PE_samples_TRANSABBYS,0.93,1755
Fold06_200x_PE_samples_TRANSABBYS,0.92,1750
Fold06_200x_PE_samples_TRANSABBYS,0.91,1742
Fold06_200x_PE_samples_TRANSABBYS,0.90,1730
Fold06_200x_PE_samples_TRANSABBYS,0.80,1612
Fold06_200x_PE_samples_TRANSABBYS,0.70,1390
Fold06_200x_PE_samples_TRANSABBYS,0.60,1199
Fold06_200x_PE_samples_TRANSABBYS,0.50,688
Fold06_200x_PE_samples_TRINITY,1.00,1383
Fold06_200x_PE_samples_TRINITY,0.99,1346
Fold06_200x_PE_samples_TRINITY,0.98,1291
Fold06_200x_PE_samples_TRINITY,0.97,1210
Fold06_200x_PE_samples_TRINITY,0.96,1159
Fold06_200x_PE_samples_TRINITY,0.95,1120
Fold06_200x_PE_samples_TRINITY,0.94,1079
Fold06_200x_PE_samples_TRINITY,0.93,1048
Fold06_200x_PE_samples_TRINITY,0.92,1023
Fold06_200x_PE_samples_TRINITY,0.91,993
Fold06_200x_PE_samples_TRINITY,0.90,970
Fold06_200x_PE_samples_TRINITY,0.80,763
Fold06_200x_PE_samples_TRINITY,0.70,582
Fold06_200x_PE_samples_TRINITY,0.60,503
Fold06_200x_PE_samples_TRINITY,0.50,376
Fold07_200x_PE_samples_BINPACKER,1.00,631
Fold07_200x_PE_samples_BINPACKER,0.99,552
Fold07_200x_PE_samples_BINPACKER,0.98,508
Fold07_200x_PE_samples_BINPACKER,0.97,490
Fold07_200x_PE_samples_BINPACKER,0.96,473
Fold07_200x_PE_samples_BINPACKER,0.95,463
Fold07_200x_PE_samples_BINPACKER,0.94,452
Fold07_200x_PE_samples_BINPACKER,0.93,445
Fold07_200x_PE_samples_BINPACKER,0.92,437
Fold07_200x_PE_samples_BINPACKER,0.91,430
Fold07_200x_PE_samples_BINPACKER,0.90,422
Fold07_200x_PE_samples_BINPACKER,0.80,383
Fold07_200x_PE_samples_BINPACKER,0.70,359
Fold07_200x_PE_samples_BINPACKER,0.60,321
Fold07_200x_PE_samples_BINPACKER,0.50,245
Fold07_200x_PE_samples_BRIDGER,1.00,476
Fold07_200x_PE_samples_BRIDGER,0.99,442
Fold07_200x_PE_samples_BRIDGER,0.98,415
Fold07_200x_PE_samples_BRIDGER,0.97,401
Fold07_200x_PE_samples_BRIDGER,0.96,391
Fold07_200x_PE_samples_BRIDGER,0.95,388
Fold07_200x_PE_samples_BRIDGER,0.94,380
Fold07_200x_PE_samples_BRIDGER,0.93,374
Fold07_200x_PE_samples_BRIDGER,0.92,367
Fold07_200x_PE_samples_BRIDGER,0.91,361
Fold07_200x_PE_samples_BRIDGER,0.90,356
Fold07_200x_PE_samples_BRIDGER,0.80,324
Fold07_200x_PE_samples_BRIDGER,0.70,299
Fold07_200x_PE_samples_BRIDGER,0.60,267
Fold07_200x_PE_samples_BRIDGER,0.50,198
Fold07_200x_PE_samples_CSTONE,1.00,322
Fold07_200x_PE_samples_CSTONE,0.99,292
Fold07_200x_PE_samples_CSTONE,0.98,282
Fold07_200x_PE_samples_CSTONE,0.97,279
Fold07_200x_PE_samples_CSTONE,0.96,278
Fold07_200x_PE_samples_CSTONE,0.95,277
Fold07_200x_PE_samples_CSTONE,0.94,277
Fold07_200x_PE_samples_CSTONE,0.93,276
Fold07_200x_PE_samples_CSTONE,0.92,276
Fold07_200x_PE_samples_CSTONE,0.91,276
Fold07_200x_PE_samples_CSTONE,0.90,275
Fold07_200x_PE_samples_CSTONE,0.80,263
Fold07_200x_PE_samples_CSTONE,0.70,244
Fold07_200x_PE_samples_CSTONE,0.60,221
Fold07_200x_PE_samples_CSTONE,0.50,154
Fold07_200x_PE_samples_IDBA,1.00,425
Fold07_200x_PE_samples_IDBA,0.99,424
Fold07_200x_PE_samples_IDBA,0.98,424
Fold07_200x_PE_samples_IDBA,0.97,422
Fold07_200x_PE_samples_IDBA,0.96,418
Fold07_200x_PE_samples_IDBA,0.95,417
Fold07_200x_PE_samples_IDBA,0.94,416
Fold07_200x_PE_samples_IDBA,0.93,412
Fold07_200x_PE_samples_IDBA,0.92,409
Fold07_200x_PE_samples_IDBA,0.91,404
Fold07_200x_PE_samples_IDBA,0.90,399
Fold07_200x_PE_samples_IDBA,0.80,307
Fold07_200x_PE_samples_IDBA,0.70,251
Fold07_200x_PE_samples_IDBA,0.60,219
Fold07_200x_PE_samples_IDBA,0.50,175
Fold07_200x_PE_samples_MEGAHIT,1.00,460
Fold07_200x_PE_samples_MEGAHIT,0.99,457
Fold07_200x_PE_samples_MEGAHIT,0.98,454
Fold07_200x_PE_samples_MEGAHIT,0.97,453
Fold07_200x_PE_samples_MEGAHIT,0.96,449
Fold07_200x_PE_samples_MEGAHIT,0.95,446
Fold07_200x_PE_samples_MEGAHIT,0.94,440
Fold07_200x_PE_samples_MEGAHIT,0.93,435
Fold07_200x_PE_samples_MEGAHIT,0.92,433
Fold07_200x_PE_samples_MEGAHIT,0.91,431
Fold07_200x_PE_samples_MEGAHIT,0.90,423
Fold07_200x_PE_samples_MEGAHIT,0.80,316
Fold07_200x_PE_samples_MEGAHIT,0.70,249
Fold07_200x_PE_samples_MEGAHIT,0.60,217
Fold07_200x_PE_samples_MEGAHIT,0.50,186
Fold07_200x_PE_samples_MERGEPIPE,1.00,169330
Fold07_200x_PE_samples_MERGEPIPE,0.99,123424
Fold07_200x_PE_samples_MERGEPIPE,0.98,89206
Fold07_200x_PE_samples_MERGEPIPE,0.97,72727
Fold07_200x_PE_samples_MERGEPIPE,0.96,65613
Fold07_200x_PE_samples_MERGEPIPE,0.95,61861
Fold07_200x_PE_samples_MERGEPIPE,0.94,59257
Fold07_200x_PE_samples_MERGEPIPE,0.93,57497
Fold07_200x_PE_samples_MERGEPIPE,0.92,55916
Fold07_200x_PE_samples_MERGEPIPE,0.91,54495
Fold07_200x_PE_samples_MERGEPIPE,0.90,53151
Fold07_200x_PE_samples_MERGEPIPE,0.80,62569
Fold07_200x_PE_samples_MERGEPIPE,0.70,53913
Fold07_200x_PE_samples_MERGEPIPE,0.60,50249
Fold07_200x_PE_samples_MERGEPIPE,0.50,45117
Fold07_200x_PE_samples_PLASS,1.00,167402
Fold07_200x_PE_samples_PLASS,0.99,121166
Fold07_200x_PE_samples_PLASS,0.98,87617
Fold07_200x_PE_samples_PLASS,0.97,71355
Fold07_200x_PE_samples_PLASS,0.96,64417
Fold07_200x_PE_samples_PLASS,0.95,60931
Fold07_200x_PE_samples_PLASS,0.94,58338
Fold07_200x_PE_samples_PLASS,0.93,56626
Fold07_200x_PE_samples_PLASS,0.92,55153
Fold07_200x_PE_samples_PLASS,0.91,53717
Fold07_200x_PE_samples_PLASS,0.90,52197
Fold07_200x_PE_samples_PLASS,0.80,61795
Fold07_200x_PE_samples_PLASS,0.70,53221
Fold07_200x_PE_samples_PLASS,0.60,49553
Fold07_200x_PE_samples_PLASS,0.50,44434
Fold07_200x_PE_samples_RNABLOOM,1.00,2126
Fold07_200x_PE_samples_RNABLOOM,0.99,2064
Fold07_200x_PE_samples_RNABLOOM,0.98,1954
Fold07_200x_PE_samples_RNABLOOM,0.97,1833
Fold07_200x_PE_samples_RNABLOOM,0.96,1753
Fold07_200x_PE_samples_RNABLOOM,0.95,1695
Fold07_200x_PE_samples_RNABLOOM,0.94,1642
Fold07_200x_PE_samples_RNABLOOM,0.93,1613
Fold07_200x_PE_samples_RNABLOOM,0.92,1574
Fold07_200x_PE_samples_RNABLOOM,0.91,1529
Fold07_200x_PE_samples_RNABLOOM,0.90,1483
Fold07_200x_PE_samples_RNABLOOM,0.80,1120
Fold07_200x_PE_samples_RNABLOOM,0.70,836
Fold07_200x_PE_samples_RNABLOOM,0.60,709
Fold07_200x_PE_samples_RNABLOOM,0.50,559
Fold07_200x_PE_samples_SOAPDENOVO,1.00,686
Fold07_200x_PE_samples_SOAPDENOVO,0.99,686
Fold07_200x_PE_samples_SOAPDENOVO,0.98,686
Fold07_200x_PE_samples_SOAPDENOVO,0.97,685
Fold07_200x_PE_samples_SOAPDENOVO,0.96,684
Fold07_200x_PE_samples_SOAPDENOVO,0.95,684
Fold07_200x_PE_samples_SOAPDENOVO,0.94,683
Fold07_200x_PE_samples_SOAPDENOVO,0.93,680
Fold07_200x_PE_samples_SOAPDENOVO,0.92,674
Fold07_200x_PE_samples_SOAPDENOVO,0.91,671
Fold07_200x_PE_samples_SOAPDENOVO,0.90,669
Fold07_200x_PE_samples_SOAPDENOVO,0.80,640
Fold07_200x_PE_samples_SOAPDENOVO,0.70,593
Fold07_200x_PE_samples_SOAPDENOVO,0.60,520
Fold07_200x_PE_samples_SOAPDENOVO,0.50,342
Fold07_200x_PE_samples_SPADES,1.00,663
Fold07_200x_PE_samples_SPADES,0.99,661
Fold07_200x_PE_samples_SPADES,0.98,660
Fold07_200x_PE_samples_SPADES,0.97,656
Fold07_200x_PE_samples_SPADES,0.96,653
Fold07_200x_PE_samples_SPADES,0.95,648
Fold07_200x_PE_samples_SPADES,0.94,648
Fold07_200x_PE_samples_SPADES,0.93,644
Fold07_200x_PE_samples_SPADES,0.92,637
Fold07_200x_PE_samples_SPADES,0.91,629
Fold07_200x_PE_samples_SPADES,0.90,613
Fold07_200x_PE_samples_SPADES,0.80,504
Fold07_200x_PE_samples_SPADES,0.70,392
Fold07_200x_PE_samples_SPADES,0.60,333
Fold07_200x_PE_samples_SPADES,0.50,232
Fold07_200x_PE_samples_STRINGTIE,1.00,1456
Fold07_200x_PE_samples_STRINGTIE,0.99,1307
Fold07_200x_PE_samples_STRINGTIE,0.98,1217
Fold07_200x_PE_samples_STRINGTIE,0.97,1158
Fold07_200x_PE_samples_STRINGTIE,0.96,1125
Fold07_200x_PE_samples_STRINGTIE,0.95,1090
Fold07_200x_PE_samples_STRINGTIE,0.94,1056
Fold07_200x_PE_samples_STRINGTIE,0.93,1028
Fold07_200x_PE_samples_STRINGTIE,0.92,1003
Fold07_200x_PE_samples_STRINGTIE,0.91,969
Fold07_200x_PE_samples_STRINGTIE,0.90,939
Fold07_200x_PE_samples_STRINGTIE,0.80,605
Fold07_200x_PE_samples_STRINGTIE,0.70,402
Fold07_200x_PE_samples_STRINGTIE,0.60,318
Fold07_200x_PE_samples_STRINGTIE,0.50,214
Fold07_200x_PE_samples_TRANSABBYS,1.00,2101
Fold07_200x_PE_samples_TRANSABBYS,0.99,1890
Fold07_200x_PE_samples_TRANSABBYS,0.98,1769
Fold07_200x_PE_samples_TRANSABBYS,0.97,1762
Fold07_200x_PE_samples_TRANSABBYS,0.96,1754
Fold07_200x_PE_samples_TRANSABBYS,0.95,1751
Fold07_200x_PE_samples_TRANSABBYS,0.94,1744
Fold07_200x_PE_samples_TRANSABBYS,0.93,1737
Fold07_200x_PE_samples_TRANSABBYS,0.92,1730
Fold07_200x_PE_samples_TRANSABBYS,0.91,1720
Fold07_200x_PE_samples_TRANSABBYS,0.90,1706
Fold07_200x_PE_samples_TRANSABBYS,0.80,1576
Fold07_200x_PE_samples_TRANSABBYS,0.70,1372
Fold07_200x_PE_samples_TRANSABBYS,0.60,1147
Fold07_200x_PE_samples_TRANSABBYS,0.50,675
Fold07_200x_PE_samples_TRINITY,1.00,1372
Fold07_200x_PE_samples_TRINITY,0.99,1347
Fold07_200x_PE_samples_TRINITY,0.98,1282
Fold07_200x_PE_samples_TRINITY,0.97,1205
Fold07_200x_PE_samples_TRINITY,0.96,1153
Fold07_200x_PE_samples_TRINITY,0.95,1103
Fold07_200x_PE_samples_TRINITY,0.94,1067
Fold07_200x_PE_samples_TRINITY,0.93,1033
Fold07_200x_PE_samples_TRINITY,0.92,1017
Fold07_200x_PE_samples_TRINITY,0.91,985
Fold07_200x_PE_samples_TRINITY,0.90,965
Fold07_200x_PE_samples_TRINITY,0.80,730
Fold07_200x_PE_samples_TRINITY,0.70,578
Fold07_200x_PE_samples_TRINITY,0.60,480
Fold07_200x_PE_samples_TRINITY,0.50,376
Fold08_200x_PE_samples_BINPACKER,1.00,698
Fold08_200x_PE_samples_BINPACKER,0.99,588
Fold08_200x_PE_samples_BINPACKER,0.98,551
Fold08_200x_PE_samples_BINPACKER,0.97,532
Fold08_200x_PE_samples_BINPACKER,0.96,515
Fold08_200x_PE_samples_BINPACKER,0.95,504
Fold08_200x_PE_samples_BINPACKER,0.94,489
Fold08_200x_PE_samples_BINPACKER,0.93,483
Fold08_200x_PE_samples_BINPACKER,0.92,470
Fold08_200x_PE_samples_BINPACKER,0.91,462
Fold08_200x_PE_samples_BINPACKER,0.90,458
Fold08_200x_PE_samples_BINPACKER,0.80,413
Fold08_200x_PE_samples_BINPACKER,0.70,371
Fold08_200x_PE_samples_BINPACKER,0.60,332
Fold08_200x_PE_samples_BINPACKER,0.50,236
Fold08_200x_PE_samples_BRIDGER,1.00,507
Fold08_200x_PE_samples_BRIDGER,0.99,470
Fold08_200x_PE_samples_BRIDGER,0.98,450
Fold08_200x_PE_samples_BRIDGER,0.97,437
Fold08_200x_PE_samples_BRIDGER,0.96,423
Fold08_200x_PE_samples_BRIDGER,0.95,414
Fold08_200x_PE_samples_BRIDGER,0.94,407
Fold08_200x_PE_samples_BRIDGER,0.93,398
Fold08_200x_PE_samples_BRIDGER,0.92,391
Fold08_200x_PE_samples_BRIDGER,0.91,385
Fold08_200x_PE_samples_BRIDGER,0.90,380
Fold08_200x_PE_samples_BRIDGER,0.80,351
Fold08_200x_PE_samples_BRIDGER,0.70,317
Fold08_200x_PE_samples_BRIDGER,0.60,278
Fold08_200x_PE_samples_BRIDGER,0.50,199
Fold08_200x_PE_samples_CSTONE,1.00,312
Fold08_200x_PE_samples_CSTONE,0.99,280
Fold08_200x_PE_samples_CSTONE,0.98,274
Fold08_200x_PE_samples_CSTONE,0.97,270
Fold08_200x_PE_samples_CSTONE,0.96,269
Fold08_200x_PE_samples_CSTONE,0.95,267
Fold08_200x_PE_samples_CSTONE,0.94,264
Fold08_200x_PE_samples_CSTONE,0.93,263
Fold08_200x_PE_samples_CSTONE,0.92,262
Fold08_200x_PE_samples_CSTONE,0.91,262
Fold08_200x_PE_samples_CSTONE,0.90,261
Fold08_200x_PE_samples_CSTONE,0.80,250
Fold08_200x_PE_samples_CSTONE,0.70,231
Fold08_200x_PE_samples_CSTONE,0.60,211
Fold08_200x_PE_samples_CSTONE,0.50,148
Fold08_200x_PE_samples_IDBA,1.00,424
Fold08_200x_PE_samples_IDBA,0.99,423
Fold08_200x_PE_samples_IDBA,0.98,420
Fold08_200x_PE_samples_IDBA,0.97,416
Fold08_200x_PE_samples_IDBA,0.96,413
Fold08_200x_PE_samples_IDBA,0.95,411
Fold08_200x_PE_samples_IDBA,0.94,405
Fold08_200x_PE_samples_IDBA,0.93,404
Fold08_200x_PE_samples_IDBA,0.92,403
Fold08_200x_PE_samples_IDBA,0.91,400
Fold08_200x_PE_samples_IDBA,0.90,395
Fold08_200x_PE_samples_IDBA,0.80,295
Fold08_200x_PE_samples_IDBA,0.70,240
Fold08_200x_PE_samples_IDBA,0.60,211
Fold08_200x_PE_samples_IDBA,0.50,176
Fold08_200x_PE_samples_MEGAHIT,1.00,450
Fold08_200x_PE_samples_MEGAHIT,0.99,447
Fold08_200x_PE_samples_MEGAHIT,0.98,443
Fold08_200x_PE_samples_MEGAHIT,0.97,442
Fold08_200x_PE_samples_MEGAHIT,0.96,438
Fold08_200x_PE_samples_MEGAHIT,0.95,433
Fold08_200x_PE_samples_MEGAHIT,0.94,429
Fold08_200x_PE_samples_MEGAHIT,0.93,425
Fold08_200x_PE_samples_MEGAHIT,0.92,421
Fold08_200x_PE_samples_MEGAHIT,0.91,421
Fold08_200x_PE_samples_MEGAHIT,0.90,415
Fold08_200x_PE_samples_MEGAHIT,0.80,308
Fold08_200x_PE_samples_MEGAHIT,0.70,251
Fold08_200x_PE_samples_MEGAHIT,0.60,226
Fold08_200x_PE_samples_MEGAHIT,0.50,178
Fold08_200x_PE_samples_MERGEPIPE,1.00,171106
Fold08_200x_PE_samples_MERGEPIPE,0.99,124616
Fold08_200x_PE_samples_MERGEPIPE,0.98,89919
Fold08_200x_PE_samples_MERGEPIPE,0.97,73558
Fold08_200x_PE_samples_MERGEPIPE,0.96,66556
Fold08_200x_PE_samples_MERGEPIPE,0.95,63065
Fold08_200x_PE_samples_MERGEPIPE,0.94,60169
Fold08_200x_PE_samples_MERGEPIPE,0.93,58468
Fold08_200x_PE_samples_MERGEPIPE,0.92,56963
Fold08_200x_PE_samples_MERGEPIPE,0.91,55548
Fold08_200x_PE_samples_MERGEPIPE,0.90,54097
Fold08_200x_PE_samples_MERGEPIPE,0.80,63333
Fold08_200x_PE_samples_MERGEPIPE,0.70,55266
Fold08_200x_PE_samples_MERGEPIPE,0.60,51329
Fold08_200x_PE_samples_MERGEPIPE,0.50,45568
Fold08_200x_PE_samples_PLASS,1.00,169147
Fold08_200x_PE_samples_PLASS,0.99,122598
Fold08_200x_PE_samples_PLASS,0.98,88358
Fold08_200x_PE_samples_PLASS,0.97,72243
Fold08_200x_PE_samples_PLASS,0.96,65377
Fold08_200x_PE_samples_PLASS,0.95,61869
Fold08_200x_PE_samples_PLASS,0.94,59148
Fold08_200x_PE_samples_PLASS,0.93,57518
Fold08_200x_PE_samples_PLASS,0.92,56054
Fold08_200x_PE_samples_PLASS,0.91,54779
Fold08_200x_PE_samples_PLASS,0.90,53391
Fold08_200x_PE_samples_PLASS,0.80,62401
Fold08_200x_PE_samples_PLASS,0.70,54667
Fold08_200x_PE_samples_PLASS,0.60,50976
Fold08_200x_PE_samples_PLASS,0.50,44822
Fold08_200x_PE_samples_RNABLOOM,1.00,2145
Fold08_200x_PE_samples_RNABLOOM,0.99,2046
Fold08_200x_PE_samples_RNABLOOM,0.98,1964
Fold08_200x_PE_samples_RNABLOOM,0.97,1852
Fold08_200x_PE_samples_RNABLOOM,0.96,1752
Fold08_200x_PE_samples_RNABLOOM,0.95,1693
Fold08_200x_PE_samples_RNABLOOM,0.94,1649
Fold08_200x_PE_samples_RNABLOOM,0.93,1607
Fold08_200x_PE_samples_RNABLOOM,0.92,1571
Fold08_200x_PE_samples_RNABLOOM,0.91,1531
Fold08_200x_PE_samples_RNABLOOM,0.90,1491
Fold08_200x_PE_samples_RNABLOOM,0.80,1139
Fold08_200x_PE_samples_RNABLOOM,0.70,838
Fold08_200x_PE_samples_RNABLOOM,0.60,720
Fold08_200x_PE_samples_RNABLOOM,0.50,547
Fold08_200x_PE_samples_SOAPDENOVO,1.00,668
Fold08_200x_PE_samples_SOAPDENOVO,0.99,668
Fold08_200x_PE_samples_SOAPDENOVO,0.98,668
Fold08_200x_PE_samples_SOAPDENOVO,0.97,668
Fold08_200x_PE_samples_SOAPDENOVO,0.96,667
Fold08_200x_PE_samples_SOAPDENOVO,0.95,667
Fold08_200x_PE_samples_SOAPDENOVO,0.94,665
Fold08_200x_PE_samples_SOAPDENOVO,0.93,663
Fold08_200x_PE_samples_SOAPDENOVO,0.92,659
Fold08_200x_PE_samples_SOAPDENOVO,0.91,653
Fold08_200x_PE_samples_SOAPDENOVO,0.90,650
Fold08_200x_PE_samples_SOAPDENOVO,0.80,621
Fold08_200x_PE_samples_SOAPDENOVO,0.70,567
Fold08_200x_PE_samples_SOAPDENOVO,0.60,512
Fold08_200x_PE_samples_SOAPDENOVO,0.50,343
Fold08_200x_PE_samples_SPADES,1.00,651
Fold08_200x_PE_samples_SPADES,0.99,651
Fold08_200x_PE_samples_SPADES,0.98,643
Fold08_200x_PE_samples_SPADES,0.97,639
Fold08_200x_PE_samples_SPADES,0.96,638
Fold08_200x_PE_samples_SPADES,0.95,637
Fold08_200x_PE_samples_SPADES,0.94,635
Fold08_200x_PE_samples_SPADES,0.93,630
Fold08_200x_PE_samples_SPADES,0.92,622
Fold08_200x_PE_samples_SPADES,0.91,618
Fold08_200x_PE_samples_SPADES,0.90,607
Fold08_200x_PE_samples_SPADES,0.80,507
Fold08_200x_PE_samples_SPADES,0.70,418
Fold08_200x_PE_samples_SPADES,0.60,354
Fold08_200x_PE_samples_SPADES,0.50,246
Fold08_200x_PE_samples_STRINGTIE,1.00,1461
Fold08_200x_PE_samples_STRINGTIE,0.99,1311
Fold08_200x_PE_samples_STRINGTIE,0.98,1217
Fold08_200x_PE_samples_STRINGTIE,0.97,1157
Fold08_200x_PE_samples_STRINGTIE,0.96,1115
Fold08_200x_PE_samples_STRINGTIE,0.95,1087
Fold08_200x_PE_samples_STRINGTIE,0.94,1050
Fold08_200x_PE_samples_STRINGTIE,0.93,1022
Fold08_200x_PE_samples_STRINGTIE,0.92,998
