assembler,sequence_identity,n_datasets,mean_clusters,se_clusters,min_clusters,max_clusters
TRANSABBYS,0.7,180,1358.0833333333333,1.730560649440071,1328,1390
TRANSABBYS,0.8,180,1586.6666666666667,1.405407663785738,1552,1616
TRANSABBYS,0.9,180,1714,1.087854054183271,1684,1732
TRANSABBYS,0.91,180,1724.1666666666667,1.1813389703553319,1693,1743
TRANSABBYS,0.92,180,1732,1.2688063864051502,1699,1754
TRANSABBYS,0.93,180,1738.9166666666667,1.263827922622873,1705,1757
TRANSABBYS,0.94,180,1745.25,1.2540901425579742,1712,1762
TRANSABBYS,0.95,180,1751.6666666666667,1.385389757302966,1715,1773
TRANSABBYS,0.96,180,1756.3333333333333,1.4070629676421733,1719,1777
TRANSABBYS,0.97,180,1761.5,1.350046554132124,1726,1781
TRANSABBYS,0.98,180,1768.8333333333333,1.3369945078760146,1730,1790
TRANSABBYS,0.99,180,1899.6666666666667,2.0563145544554455,1854,1942
TRANSABBYS,1,180,2109.5833333333335,2.7408996764973392,2028,2166
TRINITY,0.5,180,361,1.0539453234769616,327,376
TRINITY,0.6,180,492.4166666666667,0.7452258561405793,476,511
TRINITY,0.7,180,572.6666666666666,1.0089604756703459,550,599
TRINITY,0.8,180,743.25,1.3578261325852699,709,769
TRINITY,0.9,180,961.5,0.9156715438211854,940,979
TRINITY,0.91,180,984.5833333333334,1.2207312021522716,958,1010
TRINITY,0.92,180,1015.0833333333334,1.039471616478741,987,1036
TRINITY,0.93,180,1042.5,1.1957014880049002,1020,1074
TRINITY,0.94,180,1072.75,1.3598817590181294,1040,1104
TRINITY,0.95,180,1111.25,1.3711326177629506,1075,1145
TRINITY,0.96,180,1154.3333333333333,1.6170453011270138,1108,1197
TRINITY,0.97,180,1209.6666666666667,1.5113885895602792,1165,1248
TRINITY,0.98,180,1289.9166666666667,1.6040737052558522,1242,1319
TRINITY,0.99,180,1349.4166666666667,1.4542874176840064,1301,1377
TRINITY,1,180,1380.1666666666667,1.4253077466160147,1332,1403
